trail_id,name,difficulty_rating
10020048,Harding Ice Field Trail,4
10236086,Mount Healy Overlook Trail,3
10267857,Exit Glacier Trail,2
10236076,Horseshoe Lake Trail,3
10236082,Triple Lakes Trail,4
10241620,Bison Gulch,4
10236080,Rock Creek Trail,3
10236075,Taiga Trail,2
10236084,McKinley Station Trail,3
10327620,Mount Thorofare Ridge Loop,3
10265252,McKinley Bar Trail,3
10333556,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,3
10265251,Blueberry Hill Trail,2
10393562,Stampede Trail to Sushana River,4
10262541,Bartlett Cove Forest Loop Trail,2
10358126,Camp Ridge Trail,4
10236078,Jonesville Trail,2
10343441,Roadside Trail,3
10023165,Quigley Ridge Trail,4
10333569,Bison Gulch to Denali Visitors Center,4
10347459,Brooks Falls,2
10302108,Bartlett River Trail,4
10333558,McKinley Station and Morino Loop Trail,2
10513937,Dumpling Mountain,3
10333557,Spruce Tree Trail,2
10302122,Bartlet Lake Trail,4
10265266,Eldorado Creek Trail,4
10302112,Tlingit Trail,2
10302114,Point Gustavus,4
10187810,Bright Angel Trail to Bright Angel Campground and River Trail,4
10016964,South Kaibab Trail to Cedar Ridge,2
10237812,Three-Mile Resthouse via Bright Angel Trail,3
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",4
10265905,South Kaibab Trail to Ooh Aah Point,1
10266148,Grand Canyon Rim Trail,2
10094721,Rim-to-Rim: North Kaibab to Grand Canyon Village,4
10026816,Shoshone Point Trail,1
10235665,Plateau Point Trail via Bright Angel Trail,3
10266521,South Kaibab Trail to Skeleton Point,3
10016127,Grand Canyon West Rim Trail,3
10034910,Bridal Wreath Falls Trail,2
10337353,1.5 Mile Resthouse via Bright Angel Trail,2
10013850,Bright Angel Point Trail,1
10031380,Wasson Peak Trail,3
10304374,Indian Garden via Bright Angel Trail,3
10236025,Blue Mesa Trail,1
10013966,King Canyon Trail to Wasson Peak,3
10004120,Grandview Trail Loop,4
10006500,Hermit Trail,4
10259347,Grandview Point to Horseshoe Mesa Trail,3
10041313,North Kaibab Trail to Roaring Springs,4
10244240,Wasson Peak via Sweetwater Trail,3
10111405,Douglas Spring Trail,4
10286650,South Kaibab Trail to Phantom Ranch,4
10031336,Widforss Trail,3
10031337,Transept Trail,2
10304469,Yavapai Point via Rim Trail,1
10273263,Bright Angel Trail: South Rim to Phantom Ranch,4
10000811,Cape Royal Trail,1
10009957,Rim-to-Rim: North Kaibab to South Kaibab Trailhead,4
10006953,Tanque Verde Ridge Trail,4
10297089,Rim to Rim Trail Segment: Indian Garden to Colorado River,3
10040243,North Kaibab Trail to Colorado River,4
10026822,Cape Final,2
10242023,Mica View Loop Trail,2
10255289,Phantom Ranch to Ribbon Falls via North Kaibab Trail,4
10004435,Hugh Norris Trail,3
10258667,North Kaibab Trail to Supai Tunnel and Coconino Overlook,2
10236026,Crystal Forest Trail,1
10258648,Hermit's Rest Viewpoint  to Santa Maria Spring,3
10257085,South Kaibab to North Kaibab to Bright Angel Trail,4
10236022,Painted Desert Rim Trail,1
10018269,Petrified Forest Scenic Drive,3
10265749,Bright Angel Trail to Phantom Overlook to South Kaibab Trail,4
10315767,South Kaibab Trail to Tip Off,4
10023828,Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village,4
10112001,Safford Peak Trail,2
10042232,Thunder Creek to Deer Creek and Thunder Falls,4
10365390,Rim to Rim: North to South and Ribbon Falls,4
10267208,Gould Mine,2
10293249,"Douglas Spring, Bridal Wreath Falls, Three Tank, Garwood Loop",3
10258317,Grand Canyon Rim Village to Hermit's Rest,3
10002324,Desert View Visitor Center Trail,1
10274527,Coconino Overlook,2
10009628,Uncle Jim Trail,2
10009444,Dripping Springs via Dripping Springs and Hermit Trail,3
10251377,Giant Logs Trail,1
10042018,Onyx Bridge Trail,2
10331092,North Kaibab Trail to Redwall Bridge,3
10002217,Valley View Overlook Trail,1
10041071,Cactus Forest Loop Drive,3
10236028,Long Logs and Agate House Loop Trail,2
10259343,Tanner Trail,4
10306310,Loma Verde and Squeeze Pen Loop,2
10039522,Hope Camp,3
10304719,"South Kaibab, Tonto and Bright Angel Trail",4
10032774,Garwood Trail,2
10111504,Garwood Dam To Douglas Spring Loop Trail,3
10246734,South to North Kaibab Trail,4
10281018,Tanque Verde Ridge,2
10038311,Freeman Homestead Nature Trail,1
10258602,Point Imperial,1
10011949,Sendero Esperanza Trail,3
10298010,Douglas Spring to Three Tank Trail Junction,2
10302747,West Rim Trail: Hermits Rest to Powell Point,3
10259900,Saguaro National Park West and Old Tucson Studios Scenic Drive,4
10235597,Roosevelt Point Trail,1
10311930,Petroglyphs at King Canyon,2
10013382,South Bass Trail,4
10236023,Puerco Pueblo Trail,1
10111280,Cactus Forest Trail,3
10258739,The Escalante Route Trail,4
10023951,Nankoweap Trail,4
10270136,Devil's Playground Loop,3
10287374,"Pink Hill, Loma Verde, Cholla Trail, and Cactus Forest Loop",2
10272964,Hermit Trail to Dripping Springs,3
10035690,Ridge View Trail,2
10258650,Cliff Springs Trail,1
10258659,Walhalla Overlook,1
10258654,Widforss Trail - Short Option,2
10315676,Mica View Trail to Cactus Forest Trail,2
10259353,Clear Creek Trail,4
10039514,Desert Ecology Trail,1
10013558,New Hance Trail,4
10013912,Bright Angel Trail to Tonto Trail,4
10272375,Old Jasper Forest Road,2
10269962,Wildhorse Trail,2
10269284,Tanque Verde Falls Viewpoint,1
10259355,Hermit's Rest Viewpoint to Tonto Trail to Bright Angel Trailhead,4
10013747,Desert Discovery Nature Trail,1
10259354,Boucher Trail to Hermit Trail Loop,4
10112153,Thunderbird Trail,2
10389448,"Rim Trail, South Kaibab and Bright Angel Loop",4
10016910,Mather Campground Trail,2
10267209,Cactus Wren Trail,2
10259344,Tonto Trail: New Hance Trail to Grandview Point,4
10266285,South to North Kalbab Trail,4
10297375,Painted Desert Rim Trail to Kachina Point,1
10013255,Tusayan Ruin Trail,1
10269670,"Scenic, Passey, Packrat Trail Loop",1
10384519,Ribbon Falls from the North Rim via North Kaibob Trail,4
10263759,Mica Mountain via Douglas Spring and Cow Head Saddle Trail,4
10021291,Redington OHV Trail,4
10017278,Boucher Trail,4
10268598,Hope Camp Coyote Wash and Ruiz Trail Loop,3
10235600,Ken Patrick Trail North from Point Imperial,3
10398395,Tanque Verde Falls Beach,2
10235592,Grand Canyon Bridle Trail,2
10306312,Shantz and Mica View Trail,2
10259348,Tonto Trail from Grandview Point to South Kaibab Trailhead,4
10347292,Phantom Ranch to Phantom Overlook,3
10258670,Monument Point via Bill Hall Trail,2
10272332,Martha's Butte,2
10041333,Coyote Pass Loop Trail,3
10004062,Waldron Trail,3
10018933,Lava Falls Trail,3
10037999,Turkey Creek,4
10299272,Cactus Canyon and Gila Monster Loop via Thunderbird Trail,3
10111891,Panther Peak Wash - Roadrunner Loop,2
10039029,Manning Camp Trail,4
10263672,Tanner Trail to Grandview Trail and Grandview Point,4
10378554,Blue Hills Loop,2
10327921,Grandview Point to Horseshoe Mesa East Trail,4
10304376,Tonto Trail to Monument Creek,4
10272356,Martha's Butte Off-Trail Route,2
10311730,Vertical Cliffs Trail to Abington Trail Loop,2
10028602,Bajada Loop Drive,3
10272764,"Hope Campe, Ruiz Trail, and Coyote Wash Trail",3
10307988,Wild Horse to Garwood Dam,3
10111287,Cam-Boh Trail,2
10379267,Hermit Trail to Granite Rapids Campground,4
10272205,Tanner Beach and Lava Rapids Trail,4
10028565,Ken Patrick Trail South from Point Imperial,4
10313180,"Shantz, Mesquite, Loma and Cholla Trail Loop",3
10265889,"South Kaibab, North Kaibab and Bright Angel Trail",4
10236034,Cow Head Saddle Trail,4
10347968,Hermit Camp to Monument Creek Camp via Tonto Trail,3
10258658,Walhalla Ruins,2
10022546,Deer Creek to Colorado River,4
10267224,Ironwood Forest Picture Rocks Wash Trail,2
10006893,Blue Springs Trail,4
10009407,North Bass Trail,4
10259364,South Canyon,4
10014422,Arizona Trail #36,4
10269033,South Bass to Hermits Rest via Tonto West,4
10348524,Encinas Trail from Ez-Kim-In-Zin Picnic Area,3
10268788,Tanner and Beamer Trail,4
10268789,Palisades Creek Trail,4
10259359,Powell Plateau Trail,4
10272462,First Forest Point,2
10261755,Valley View and Wild Dog Trails,2
10394939,"Shantz, Vanover, Loma Verde, Cholla, Cactus Forest Trail Loop",3
10007969,Tiyo Point Trail,4
10366335,"Hugh Norris, Sendero Esperanza, Dobbie Wash Loop",3
10453902,Hope Camp to Grass Shack Camp Trail,4
10286475,AZ Trail Segment 37,4
10314641,Schmutz Spring,4
10421252,Horseshoe Mesa Loop via Grand View Trail,4
10483525,Arizona Trail: Savilla Campground to Saguaro National Park,3
10427265,Thunder River Trail from Indian Hollow Parking Area,4
10258671,North Bass Trail to Muav Cabin,2
10456484,"Douglas Spring, Converse, Garwood  and Wildhorse Loop",2
10545419,Redington Pass Chiva Falls OHV Loop,4
10041922,Sunset Trail,4
10235890,West Mountain Trail,2
10264755,Goat Rock Trail,2
10264753,Gulpha Gorge Trail,2
10039426,The Grand Promenade and Side Trails,1
10007938,Dead Chief Trail,2
10267800,Hot Springs Mountain Trail,2
10017178,Peak Trail,2
10235889,Sugarloaf Mountain Via Sunset Trail,3
10354929,Goat Rock via Dead Chief Trail,1
10264248,Grand Promenade,1
10291742,Hot Springs Sunset Trail Full Circle,4
10307591,Sunset Trail: Sugarloaf Mountain Section,2
10308425,Upper Dogwood Trail,2
10367719,Mountaintop Loop,2
10308451,Lower Dogwood Trail,2
10026910,Vernal and Nevada Falls via the Mist Trail,3
10005895,Upper Yosemite Falls Trail,3
10005585,Half Dome Trail,4
10026952,Moro Rock Trail,1
10011926,Lower Yosemite Falls Trail,1
10027503,Clouds Rest Trail via Tenaya Lake,3
10010560,Four Mile Trail,3
10031426,Sentinel Dome Trail,2
10033113,Glacier Point Trail,1
10276593,Vernal Falls,2
10011170,Ryan Mountain Trail,2
10235913,Mirror Lake via Valley Loop Trail,2
10026962,Tokopah Falls via Tokopah Valley Trail,2
10028848,Lassen Peak,3
10031466,Mist Falls Trail,2
10006090,"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails",3
10031888,Barker Dam Nature Trail,1
10235992,General Sherman Tree Trail,1
10235907,Bridalveil Fall Trail,1
10027546,Marble Falls Trail,2
10035554,Hidden Valley Nature Trail,1
10028653,Taft Point and The Fissures,2
10033156,Rae Lakes Trail,4
10031456,Congress Trail,2
10002863,Cathedral Lakes Trail,2
10003872,Lost Palms Oasis,2
10010871,Vernal and Nevada Falls via the Panorama Trail,2
10013977,Condor Gulch Trail to High Peaks Trail Loop,2
10019827,Arch Rock Nature Trail,1
10235908,Columbia Rock Trail,1
10037289,Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome,3
10034036,Fortynine Palms Oasis Trail,2
10004781,John Muir Trail via Yosemite Valley,4
10031887,Lost Horse Mine Loop Trail,2
10012390,Mariposa Grove of Giant Sequoias Trail,2
10235922,Chilnualna Falls Trail,3
10006688,Badwater Basin Salt Flats Trail,1
10293225,Sentinel Dome and Taft Point Loop,2
10298575,Nevada Falls,3
10274952,Tall Trees Grove Loop Trail,2
10023775,Skull Rock Nature Trail,1
10014345,Clouds Rest Trail from Yosemite Valley,4
10033137,General Grant Loop Trail,1
10013813,El Capitan Trail (historical),4
10040340,Alta Peak Trail,4
10259802,Mineral King to Eagle Lake Trail,3
10235993,Big Trees Trail,1
10026955,Giant Forest Loop Trail,2
10028648,Wapama Falls Trail,2
10236017,Mesquite Flat Sand Dunes Trail,1
10235899,Cholla Cactus Garden Nature Trail,1
10236155,Kings Creek Falls Trail,2
10261348,Yosemite Point,4
10026896,Tuolumne Grove Trail,2
10242664,Crystal Cave Trail,1
10037534,Lady Bird Johnson Grove Trail,1
10036246,Heather Lake via Watchtower Trail,3
10029986,Cinder Cone Nature Trail,2
10032060,Mount Dana Summit Trail,3
10029819,Zumwalt Meadow And Roaring River Falls,2
10035907,Old Pinnacles Trail Loop,4
10031884,Willow Hole Trail,2
10007086,High Sierra Trail: Crescent Meadow to Whitney Portal,4
10041400,Paradise Valley Trail,4
10111782,Mount Hoffman Trail,3
10004744,Twin Lakes Trail,4
10033119,Tenaya Lake Trail,2
10027108,Brokeoff Mountain Trail,3
10034011,Zabriskie Point,1
10028494,Mastodon Peak Loop Trail,2
10026938,Redwood Canyon Sugar Bowl Trail,4
10026957,Crescent and Log Meadows Trail,1
