trail_id, name, area_name, city_name, state_name
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Grand Canyon National Park,Grand Canyon,Arizona
10265905,South Kaibab Trail to Ooh Aah Point,Grand Canyon National Park,Grand Canyon,Arizona
10266148,Grand Canyon Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona
10027395,The Zion Narrows Riverside Walk,Zion National Park,Springdale,Utah
10006571,Angels Landing Trail,Zion National Park,Springdale,Utah
10033258,The Wonderland Trail,Mount Rainier National Park,Longmire,Washington
10006208,The Beehive Loop Trail,Acadia National Park,Bar Harbor,Maine
10007701,Jordan Pond West Side Trail,Acadia National Park,Mount Desert,Maine
10289730,The Bubbles and North Bubble,Acadia National Park,Bar Harbor,Maine
10011593,Penobscot Mountain Trail,Acadia National Park,Mount Desert,Maine
