popularity,length,elevation_gain,num_reviews,feature_lake,feature_kids,feature_paved,feature_river,feature_beach,feature_cave,feature_hot-springs,feature_views,feature_dogs,feature_wildlife,feature_dogs-leash,feature_city-walk,feature_historic-site,feature_ada,feature_dogs-no,feature_partially-paved,feature_waterfall,feature_strollers,feature_wild-flowers,feature_rails-trails,feature_forest,activity_birding,activity_skiing,activity_trail-running,activity_snowboarding,activity_snowshoeing,activity_rock-climbing,activity_backpacking,activity_bike-touring,activity_scenic-driving,activity_canoeing,activity_mountain-biking,activity_ice-climbing,activity_cross-country-skiing,activity_fishing,activity_sea-kayaking,activity_paddle-sports,activity_road-biking,activity_hiking,activity_surfing,activity_fly-fishing,activity_horseback-riding,activity_rails-trails,activity_nature-trips,activity_walking,activity_whitewater-kayaking,activity_camping,activity_off-road-driving,steepness,gain_x_length,gain_x_steepness,length_x_steepness,elevation_gain_sq,length_sq,steepness_sq,log_elevation_gain,log_length,sqrt_elevation_gain,sqrt_length,steepness_bin,route_type_out and back,route_type_point to point
31.6323,26875.978,1400.8608,519,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.05212315620584183,37649504.0418624,73.01728630104054,1400.8607994787683,1962410.9809766398,722318193.456484,0.0027168234128585873,7.2455557759320435,10.199025362721617,37.428075023970976,163.93894595244902,0,False,True
28.8685,2896.812,210.9216,455,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.07281162853229127,611000.2219392001,15.357545188636527,210.92159927188374,44487.921346560004,8391519.763344,0.005301533249524372,5.356216394954188,7.971711248450585,14.523140156316058,53.82204009511345,0,True,False
28.2035,8690.436,106.9848,342,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.012310636644340244,929744.5573728001,1.3170509992674122,106.98479987689365,11445.747431040001,75523677.870096,0.00015155177458897284,4.681990476478572,9.070093452018405,10.343345686962222,93.22250801174575,0,True,False
43.9161,2253.076,148.7424,1123,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.06601747980974684,335127.9316224,9.819598388853288,148.74239933982517,22124.30155776,5076351.461776,0.004358307640430332,5.008916484455583,7.720495411866248,12.19599934404721,47.46657771527246,0,False,False
17.817,4667.086,296.8752,163,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.06361039830075899,1385542.0896672,18.884349717617486,296.87519936389606,88134.88437504,21781691.731396,0.004046282771981202,5.696674606841257,8.448504416544367,17.2300667439218,68.31607424318233,0,True,False
11.8602,2414.01,150.876,79,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.06250015508427821,364216.17276000004,9.42977339849556,150.87599937499846,22763.567376000003,5827444.280100001,0.0039062693855588275,5.023064398435276,7.78945870686485,12.283159202745848,49.132575751735224,0,True,False
11.3141,5310.822,14.9352,48,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0028122200239205533,79318.1887344,0.042001068501258246,14.9351999718778,223.06019904000001,28204830.315684002,7.908581462939717e-06,2.768530498778927,8.577690181558685,3.864608647715833,72.87538679142637,0,True,False
84.6229,6598.294,492.8616,3903,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.07469530749206492,3252045.7381104,36.8144487630311,492.861599253047,242912.55675456,43537483.710436,0.00557938896133413,6.202255315991914,8.794717952595882,22.20048648115622,81.22988366358774,0,True,False
62.5499,2896.812,62.7888,1877,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.02167513797348555,181887.3493056,1.3609559031895895,62.78879978324862,3942.43340544,8391519.763344,0.00046981160616963526,4.155577626350945,7.971711248450585,7.923938414702628,53.82204009511345,0,True,False
21.3004,154818.508,7723.9368,97,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.049890267638421484,1195808371.2622945,385.3492741742528,7723.936799501098,59659199.690394245,23968770419.346066,0.002489038805033326,8.952208920502706,11.95001525286966,87.88593061463251,393.46983111796516,0,False,False
