popularity,length,elevation_gain,num_reviews,feature_lake,feature_kids,feature_paved,feature_river,feature_beach,feature_cave,feature_hot-springs,feature_views,feature_dogs,feature_wildlife,feature_dogs-leash,feature_city-walk,feature_historic-site,feature_ada,feature_dogs-no,feature_partially-paved,feature_waterfall,feature_strollers,feature_wild-flowers,feature_rails-trails,feature_forest,activity_birding,activity_skiing,activity_trail-running,activity_snowboarding,activity_snowshoeing,activity_rock-climbing,activity_backpacking,activity_bike-touring,activity_scenic-driving,activity_canoeing,activity_mountain-biking,activity_ice-climbing,activity_cross-country-skiing,activity_fishing,activity_sea-kayaking,activity_paddle-sports,activity_road-biking,activity_hiking,activity_surfing,activity_fly-fishing,activity_horseback-riding,activity_rails-trails,activity_nature-trips,activity_walking,activity_whitewater-kayaking,activity_camping,activity_off-road-driving,steepness,gain_x_length,gain_x_steepness,length_x_steepness,elevation_gain_sq,length_sq,steepness_sq,log_elevation_gain,log_length,sqrt_elevation_gain,sqrt_length,steepness_bin,route_type_out and back,route_type_point to point,gpt_rating
2.1013,20599.552,866.8512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04208107048052255,17856746.3706624,36.47802644332555,866.8511995791893,751431.0029414399,424341542.600704,0.0017708164927867063,6.766020271393365,9.933073150535169,29.442336863774926,143.52544025363588,0,True,False,4
4.9944,9334.172,142.9512,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01531482383727788,1334331.0884064,2.189272445327478,142.95119984685175,20435.04558144,87126766.925584,0.00023454382916685479,4.969474353251296,9.14154448108728,11.956220138488584,96.61351872279573,0,False,False,3
6.4578,6598.294,81.9912,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012426121036094907,541002.0430128,1.0188325750946647,81.9911998757388,6722.556877440001,43537483.710436,0.00015440848400368034,4.418734578079261,8.794717952595882,9.05489922638568,81.22988366358774,0,False,False,2
24.7999,2092.142,288.9504,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13811223072758813,604525.2677567999,39.90758431362888,288.95039861887767,83492.33366016,4377058.148163999,0.01907498827655054,5.669709873869696,7.646421565342898,16.998541113872097,45.73993878439279,0,True,False,1
5.5853,9656.04,544.9824,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056439534160546624,5262371.853696001,30.758552781696682,544.9823994356046,297005.81630976,93239108.48160002,0.0031854210162595093,6.30258674079313,9.175442462031446,23.34485810622973,98.26515150347045,0,False,False,3
2.3848,49567.672,2311.908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04664144806989494,114595897.43817599,107.83073692437466,2311.9079995335856,5344918.600463999,2456954107.4995837,0.0021754246780567063,7.746260886256642,10.811114300258332,48.082304437287526,222.63798418059753,0,True,False,4
5.9829,10782.578,262.7376,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02436686289274526,2832988.6655328,6.402091075968946,262.7375997563314,69031.04645375999,116263988.32608399,0.0005937440072338459,5.574954669467064,9.285779700338932,16.209182582721436,103.83919298607823,0,False,False,3
4.1315,91893.314,4069.9944,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044290430091106475,374005273.3774416,180.26180244439485,4069.9943995570957,16564854.41603136,8444381157.9025955,0.00196164219765519,8.311642572918638,11.428394434830087,63.79650774141168,303.1391000844332,0,True,False,4
3.172,6920.162,292.9128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04232744834249914,2027004.0278736001,12.398251410856782,292.91279957672555,85797.90840384,47888642.106244005,0.001791612883186933,5.6832831247051505,8.84233895359003,17.114695439884404,83.18751108189258,0,True,False,3
33.916,6920.162,610.8192,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08826660403576303,4226967.8167104,53.91493646384155,610.8191991173339,373100.09508864005,47888642.106244005,0.007790993388006179,6.416436814029211,8.84233895359003,24.7147567254869,83.18751108189258,0,True,False,2
