trail_id,name,area_name,estimated_strenuousness_score
10020048,Harding Ice Field Trail,Kenai Fjords National Park,5
10236086,Mount Healy Overlook Trail,Denali National Park,3
10267857,Exit Glacier Trail,Kenai Fjords National Park,1
10236076,Horseshoe Lake Trail,Denali National Park,1
10236082,Triple Lakes Trail,Denali National Park,5
10241620,Bison Gulch,Denali National Park,5
10236080,Rock Creek Trail,Denali National Park,3
10236075,Taiga Trail,Denali National Park,3
10236084,McKinley Station Trail,Denali National Park,1
10327620,Mount Thorofare Ridge Loop,Denali National Park,5
10265252,McKinley Bar Trail,Denali National Park,1
10333556,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,3
10265251,Blueberry Hill Trail,Denali National Park,3
10393562,Stampede Trail to Sushana River,Denali National Park,5
10262541,Bartlett Cove Forest Loop Trail,Glacier Bay National Park,1
10358126,Camp Ridge Trail,Denali National Park,5
10236078,Jonesville Trail,Denali National Park,1
10343441,Roadside Trail,Denali National Park,1
10023165,Quigley Ridge Trail,Denali National Park,4
10333569,Bison Gulch to Denali Visitors Center,Denali National Park,5
10347459,Brooks Falls,Katmai National Park,1
10302108,Bartlett River Trail,Glacier Bay National Park,2
10333558,McKinley Station and Morino Loop Trail,Denali National Park,3
10513937,Dumpling Mountain,Katmai National Park,3
10333557,Spruce Tree Trail,Denali National Park,1
10302122,Bartlet Lake Trail,Glacier Bay National Park,2
10265266,Eldorado Creek Trail,Denali National Park,4
10302112,Tlingit Trail,Glacier Bay National Park,1
10302114,Point Gustavus,Glacier Bay National Park,4
10187810,Bright Angel Trail to Bright Angel Campground and River Trail,Grand Canyon National Park,5
10016964,South Kaibab Trail to Cedar Ridge,Grand Canyon National Park,3
10237812,Three-Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,5
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Grand Canyon National Park,5
10265905,South Kaibab Trail to Ooh Aah Point,Grand Canyon National Park,3
10266148,Grand Canyon Rim Trail,Grand Canyon National Park,2
10094721,Rim-to-Rim: North Kaibab to Grand Canyon Village,Grand Canyon National Park,5
10026816,Shoshone Point Trail,Grand Canyon National Park,1
10235665,Plateau Point Trail via Bright Angel Trail,Grand Canyon National Park,5
10266521,South Kaibab Trail to Skeleton Point,Grand Canyon National Park,5
10016127,Grand Canyon West Rim Trail,Grand Canyon National Park,2
10034910,Bridal Wreath Falls Trail,Saguaro National Park,4
10337353,1.5 Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,3
10013850,Bright Angel Point Trail,Grand Canyon National Park,1
10031380,Wasson Peak Trail,Saguaro National Park,4
10304374,Indian Garden via Bright Angel Trail,Grand Canyon National Park,5
10236025,Blue Mesa Trail,Petrified Forest National Park,1
10013966,King Canyon Trail to Wasson Peak,Saguaro National Park,4
10004120,Grandview Trail Loop,Grand Canyon National Park,5
10006500,Hermit Trail,Grand Canyon National Park,5
10259347,Grandview Point to Horseshoe Mesa Trail,Grand Canyon National Park,4
10041313,North Kaibab Trail to Roaring Springs,Grand Canyon National Park,5
10244240,Wasson Peak via Sweetwater Trail,Saguaro National Park,5
10111405,Douglas Spring Trail,Saguaro National Park,4
10286650,South Kaibab Trail to Phantom Ranch,Grand Canyon National Park,5
10031336,Widforss Trail,Grand Canyon National Park,4
10031337,Transept Trail,Grand Canyon National Park,3
10304469,Yavapai Point via Rim Trail,Grand Canyon National Park,1
10273263,Bright Angel Trail: South Rim to Phantom Ranch,Grand Canyon National Park,5
10000811,Cape Royal Trail,Grand Canyon National Park,1
10009957,Rim-to-Rim: North Kaibab to South Kaibab Trailhead,Grand Canyon National Park,5
10006953,Tanque Verde Ridge Trail,Saguaro National Park,5
10297089,Rim to Rim Trail Segment: Indian Garden to Colorado River,Grand Canyon National Park,5
10040243,North Kaibab Trail to Colorado River,Grand Canyon National Park,5
10026822,Cape Final,Grand Canyon National Park,1
10242023,Mica View Loop Trail,Saguaro National Park,1
10255289,Phantom Ranch to Ribbon Falls via North Kaibab Trail,Grand Canyon National Park,5
10004435,Hugh Norris Trail,Saguaro National Park,4
10258667,North Kaibab Trail to Supai Tunnel and Coconino Overlook,Grand Canyon National Park,3
10236026,Crystal Forest Trail,Petrified Forest National Park,1
10258648,Hermit's Rest Viewpoint  to Santa Maria Spring,Grand Canyon National Park,3
10257085,South Kaibab to North Kaibab to Bright Angel Trail,Grand Canyon National Park,5
10236022,Painted Desert Rim Trail,Petrified Forest National Park,1
10018269,Petrified Forest Scenic Drive,Petrified Forest National Park,4
10265749,Bright Angel Trail to Phantom Overlook to South Kaibab Trail,Grand Canyon National Park,5
10315767,South Kaibab Trail to Tip Off,Grand Canyon National Park,5
10023828,Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village,Grand Canyon National Park,2
10112001,Safford Peak Trail,Saguaro National Park,3
10042232,Thunder Creek to Deer Creek and Thunder Falls,Grand Canyon National Park,5
10365390,Rim to Rim: North to South and Ribbon Falls,Grand Canyon National Park,5
10267208,Gould Mine,Saguaro National Park,3
10293249,"Douglas Spring, Bridal Wreath Falls, Three Tank, Garwood Loop",Saguaro National Park,4
10258317,Grand Canyon Rim Village to Hermit's Rest,Grand Canyon National Park,2
10002324,Desert View Visitor Center Trail,Grand Canyon National Park,1
10274527,Coconino Overlook,Grand Canyon National Park,1
10009628,Uncle Jim Trail,Grand Canyon National Park,1
10009444,Dripping Springs via Dripping Springs and Hermit Trail,Grand Canyon National Park,5
10251377,Giant Logs Trail,Petrified Forest National Park,1
10042018,Onyx Bridge Trail,Petrified Forest National Park,3
10331092,North Kaibab Trail to Redwall Bridge,Grand Canyon National Park,5
10002217,Valley View Overlook Trail,Saguaro National Park,1
10041071,Cactus Forest Loop Drive,Saguaro National Park,2
10236028,Long Logs and Agate House Loop Trail,Petrified Forest National Park,1
10259343,Tanner Trail,Grand Canyon National Park,5
10306310,Loma Verde and Squeeze Pen Loop,Saguaro National Park,3
10039522,Hope Camp,Saguaro National Park,4
10304719,"South Kaibab, Tonto and Bright Angel Trail",Grand Canyon National Park,5
10032774,Garwood Trail,Saguaro National Park,1
10111504,Garwood Dam To Douglas Spring Loop Trail,Saguaro National Park,2
10246734,South to North Kaibab Trail,Grand Canyon National Park,5
10281018,Tanque Verde Ridge,Saguaro National Park,3
10038311,Freeman Homestead Nature Trail,Saguaro National Park,1
10258602,Point Imperial,Grand Canyon National Park,1
10011949,Sendero Esperanza Trail,Saguaro National Park,3
10298010,Douglas Spring to Three Tank Trail Junction,Saguaro National Park,3
