TrailID,Trail,Length,elevation_gain,alltrails_labels,Cluster_Class,Chat Class
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",15.270442045454544,1400.8608,3,4,4
10265905,South Kaibab Trail to Ooh Aah Point,1.645915909090909,210.9216,2,2,1
10266148,Grand Canyon Rim Trail,4.937747727272727,106.9848,1,1,2
10006208,The Beehive Loop Trail,1.2801568181818181,148.7424,3,1,1
10011593,Penobscot Mountain Trail,2.6517534090909094,296.8752,2,2,2
10289730,The Bubbles and North Bubble,1.371596590909091,150.876,2,1,2
10007701,Jordan Pond West Side Trail,3.0175125,14.9352,2,1,2
10006571,Angels Landing Trail,3.7490306818181818,492.8616,3,2,2
10027395,The Zion Narrows Riverside Walk,1.645915909090909,62.7888,1,1,1
10033258,The Wonderland Trail,87.96506136363637,7723.9368,4,4,4
